initial_r_ratio,alpha,accuracy,params_M,flops_G,throughput_bs128,throughput_bs64,throughput_bs32,throughput_bs16,throughput_bs1,activation_mem_bs128,activation_mem_bs64,activation_mem_bs32,activation_mem_bs16,activation_mem_bs1
0.25,0.9,3.748,4.755979,0.760017408,2255.568316375112,2391.7179226207886,2106.1921056097935,1505.5841718359416,119.36934975513411,489.3828125,245.42578125,123.126953125,62.3447265625,3.89501953125
0.25,1.0,3.11,4.755979,0.714582528,2371.427863678365,2498.900554511361,2133.130851468325,1502.7605939809378,118.05683858707296,489.3828125,245.42578125,123.126953125,62.3447265625,3.89501953125
0.3,0.0,75.288,4.755979,1.419586048,1456.07034524878,1607.6201189960864,1699.0490835258668,1729.7686076351333,176.33300761317443,437.86328125,218.587890625,110.2314453125,56.05322265625,3.89501953125
0.3,0.1,75.072,4.755979,1.372579328,1497.50930821218,1659.4590868038154,1737.5621096406528,1735.162237183499,153.33096517405733,437.86328125,218.587890625,110.2314453125,56.05322265625,3.89501953125
0.3,0.2,74.324,4.755979,1.326703104,1541.668152231085,1709.7801487674037,1756.6711442339638,1704.701397609547,141.18295402337037,437.86328125,218.587890625,110.2314453125,56.05322265625,3.89501953125
0.3,0.3,72.978,4.755979,1.240072704,1643.6244464950164,1788.1737866818314,1811.5942482812106,1645.126462627002,134.27172886682874,437.86328125,218.587890625,110.2314453125,56.05322265625,3.89501953125
0.3,0.4,71.346,4.755979,1.176376832,1733.0921614666995,1876.876810695185,1903.8099823062678,1637.3284612614118,132.44219312543478,437.86328125,218.587890625,110.2314453125,56.05322265625,3.89501953125
0.3,0.5,67.068,4.755979,1.072695808,1860.6049233698375,1990.2111154178876,1983.4973536960474,1593.7372262565707,125.6286443219639,437.86328125,218.587890625,110.2314453125,56.05322265625,3.89501953125
0.3,0.6,58.506,4.755979,0.963574272,2014.160529540801,2131.9415552845217,2088.3824253622483,1499.529107266567,115.34259354846589,437.86328125,218.587890625,110.2314453125,56.05322265625,3.89501953125
0.3,0.7,8.838,4.755979,0.811535872,2259.2692542420173,2388.222174970218,2082.639129227975,1463.0149404890994,111.44852654947795,437.86328125,218.587890625,110.2314453125,56.05322265625,3.89501953125
0.3,0.8,3.412,4.755979,0.709374464,2446.299927863733,2576.916024791496,2164.127415247066,1527.146553344148,117.67053247415194,437.86328125,218.587890625,110.2314453125,56.05322265625,3.89501953125
0.3,0.9,2.838,4.755979,0.679970304,2516.457709520493,2633.9165333790497,2201.0020878552186,1557.5159458354972,120.47449839680573,437.86328125,218.587890625,110.2314453125,56.05322265625,3.89501953125
0.3,1.0,2.618,4.755979,0.66280704,2563.5528732084863,2673.110601415056,2207.232622838637,1556.9727575500654,119.93030935659681,437.86328125,218.587890625,110.2314453125,56.05322265625,3.89501953125
0.35,0.0,74.434,4.755979,1.339963904,1576.9202083665928,1759.6549161542096,1865.2958432633552,1906.552298486994,176.5616533526771,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.35,0.1,73.696,4.755979,1.290593792,1621.8646621294934,1802.99727646351,1864.2404406960104,1840.7256822471331,149.74937898142386,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.35,0.2,72.632,4.755979,1.221426688,1702.831208433316,1876.0088925053587,1902.4716050385082,1780.4239300667568,142.29835767231282,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.35,0.3,70.868,4.755979,1.147571712,1807.6644762786013,1967.8220605999757,2006.0442409742623,1721.8579857486964,135.27699666582822,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.35,0.4,67.38,4.755979,1.061959168,1933.3969070887813,2084.201747311774,2092.540563732674,1680.1075206901319,129.9946530634054,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.35,0.5,57.064,4.755979,0.926720512,2152.635852755419,2290.8458047608547,2220.8034195987716,1588.2393981864748,120.51328848594792,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.35,0.6,32.048,4.755979,0.796289536,2371.561447151221,2499.906182084686,2147.3973398061185,1499.3761988956755,111.40343169945331,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.35,0.7,2.864,4.755979,0.66775296,2627.9274906857954,2757.8693173564066,2241.1022709653057,1573.5938278998995,120.66754639609943,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.35,0.8,2.458,4.755979,0.63519488,2702.965667928582,2821.0316238752516,2256.2107698956206,1583.9476240005808,119.58037799143816,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.35,0.9,1.99,4.755979,0.614550016,2794.837039418281,2914.1668032004354,2327.5597590534276,1636.141677103108,124.36226706002698,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.35,1.0,1.82,4.755979,0.606397952,2817.695105701254,2945.6122188398244,2331.214292798316,1638.1491584101186,124.75049478694343,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.4,0.0,72.438,4.755979,1.253349888,1721.5600065528645,1900.363966495713,1956.4264873203576,1990.7232683180566,176.52773809862515,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.4,0.1,71.672,4.755979,1.203979776,1772.5342814619726,1944.4348700356093,1979.2377950392756,1901.6395635228357,151.8313336235802,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.4,0.2,69.754,4.755979,1.13244928,1887.0354393560203,2051.7292157091806,2080.847132137301,1817.5804141954268,140.5091146587519,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.4,0.3,66.21,4.755979,1.04196864,2025.095983962393,2174.1021018522683,2165.176989357383,1784.3155397556804,137.10860928009598,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.4,0.4,59.494,4.755979,0.939424256,2205.2485277638457,2348.2998839862134,2300.6699859132573,1696.9688755316108,127.31405898523965,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.4,0.5,38.084,4.755979,0.798944768,2468.3320619362853,2597.9778246392966,2310.1917464068097,1638.2914471926836,121.96716628287886,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.4,0.6,3.134,4.755979,0.649886208,2765.252577196396,2871.6652431478537,2294.335746079093,1595.4153960500926,119.15360820917381,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.4,0.7,1.966,4.755979,0.597103104,2914.432194637163,3026.1947268194112,2348.473527607979,1632.0242676948374,122.21687558099073,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
