initial_r_ratio,alpha,accuracy,params_M,flops_G,throughput_bs128,throughput_bs64,throughput_bs32,throughput_bs16,throughput_bs1,activation_mem_MB
0.45,0.1,68.112,4.755979,1.117082112,1944.3076655460707,2103.822629859169,2169.2350012040733,1987.8344015569294,157.10465348161978,392.0
0.45,0.2,65.072,4.755979,1.0304128,2074.2757205734233,2238.13663283369,2252.901713342124,1899.2594885197145,146.76012539978214,392.0
0.45,0.3,58.802,4.755979,0.936958464,2231.9292073683578,2389.2807737256553,2355.326970438444,1827.8094295972323,138.14413805244388,392.0
0.45,0.4,43.612,4.755979,0.809969152,2512.970852527155,2659.461363368147,2455.9977552730097,1745.7948550442852,130.06039028436817,392.0
0.45,0.5,11.078,4.755979,0.654564864,2851.113690794524,2960.198006236944,2381.303917788517,1641.2815390144924,121.84186211998423,392.0
0.5,0.1,61.774,4.755979,1.031338496,2111.904510970335,2273.402810096749,2338.721789366083,2018.0942306277193,154.91156313643853,392.0
0.5,0.2,56.336,4.755979,0.942305792,2257.7230254135234,2424.2659291706445,2393.5499246755526,1940.3497870031779,146.65199134179608,392.0
0.5,0.3,45.586,4.755979,0.83279616,2560.3474104209467,2695.143543019934,2617.598878146233,1848.3433787121112,137.63336531748163,392.0
0.5,0.4,18.432,4.755979,0.685935104,2892.516350364441,2987.7948894619612,2521.4830914995614,1730.0290276510289,126.90149345636338,392.0
0.55,0.1,60.854,4.755979,1.015577088,2148.1221730196858,2317.9926665774133,2345.809902218864,1967.9034239518692,150.0884935485233,392.0
0.55,0.2,55.476,4.755979,0.923887104,2291.0669000810954,2443.7598531781996,2408.4778707704677,1892.2979715666067,142.08678996900673,392.0
0.55,0.3,39.648,4.755979,0.799532544,2663.7116471225277,2808.2314922444043,2622.3867225816443,1855.7007450359508,137.44631331083843,392.0
0.55,0.4,13.088,4.755979,0.651755008,2969.286457014946,3053.1856102122892,2524.614999100325,1727.4737064835801,126.52769458512783,392.0
0.6,0.1,60.158,4.755979,1.000438272,2177.3785326828884,2326.7123476460406,2347.5170398131077,1972.2582530603875,151.03039264551862,392.0
0.6,0.2,53.38,4.755979,0.906384896,2338.636947109563,2491.247965223654,2468.8248654567,1889.776863445583,140.7150577985299,392.0
0.6,0.3,35.104,4.755979,0.772391424,2712.85571361299,2854.286565780042,2622.5174858951814,1854.9434540864563,136.72259532441964,392.0
0.6,0.4,8.154,4.755979,0.622250496,3062.5243805892815,3144.9704552415933,2533.8266103795995,1747.6620750284992,129.39771088778753,392.0
