initial_r,alpha,accuracy,params_M,flops_G,throughput_bs128,throughput_bs64,throughput_bs32,throughput_bs16,throughput_bs8,throughput_bs4,throughput_bs2,throughput_bs1,activation_mem_bs128,activation_mem_bs64,activation_mem_bs32,activation_mem_bs16,activation_mem_bs8,activation_mem_bs4,activation_mem_bs2,activation_mem_bs1
0.2,0.1,76.238,4.755979,1.56446976,1260.920392394697,1388.3200401835568,1470.2833635201866,1478.7999389342904,1119.0438711309207,607.0775567869109,307.7354830310012,155.1823408340095,544.71484375,273.294921875,136.8037109375,68.08935546875,34.04443359375,17.02294921875,8.51171875,4.25634765625
0.2,0.2,76.06,4.755979,1.522443776,1279.415794103416,1408.0857762213152,1469.0069314397101,1461.5417450916543,1041.0203717375884,556.7308648254821,281.21674349337,141.51894153123666,544.71484375,273.294921875,136.8037109375,68.08935546875,34.04443359375,17.02294921875,8.51171875,4.25634765625
0.2,0.3,75.804,4.755979,1.481282048,1325.6766883146822,1451.9857339067235,1516.063451006488,1502.5438446402027,1034.4171246761784,550.7954619135439,277.9470163632593,140.7759124027814,544.71484375,273.294921875,136.8037109375,68.08935546875,34.04443359375,17.02294921875,8.51171875,4.25634765625
0.2,0.4,75.488,4.755979,1.431352832,1369.765452015963,1511.3005124321041,1563.6899046275148,1543.908005359483,1005.1019184007578,531.250267173298,269.2108867307651,135.74680608715246,544.71484375,273.294921875,136.8037109375,68.08935546875,34.04443359375,17.02294921875,8.51171875,4.25634765625
0.2,0.5,74.508,4.755979,1.357164032,1441.6505943499058,1576.8890833018036,1612.4936517950475,1466.8735610526785,931.9629686001904,488.7948636207926,246.04748149292718,124.18311993484915,544.71484375,273.294921875,136.8037109375,68.08935546875,34.04443359375,17.02294921875,8.51171875,4.25634765625
0.2,0.6,72.884,4.755979,1.269490176,1525.4040559387024,1653.4391920259075,1668.1819347877229,1415.8389638727308,886.3739914369884,461.3499480606448,232.85230112071338,117.3063426359974,544.71484375,273.294921875,136.8037109375,68.08935546875,34.04443359375,17.02294921875,8.51171875,4.25634765625
0.2,0.7,68.374,4.755979,1.156889088,1638.8754179129794,1769.736015578793,1752.854463810478,1355.334925671819,832.6227900568938,431.4391639779964,217.25528359808342,109.56031777816705,544.71484375,273.294921875,136.8037109375,68.08935546875,34.04443359375,17.02294921875,8.51171875,4.25634765625
0.2,0.8,48.474,4.755979,1.042451968,1767.608933279601,1893.7124803098257,1871.0369506360184,1372.4141998581385,835.6061974216623,433.74614824832105,218.91110838550406,110.01662038119754,544.71484375,273.294921875,136.8037109375,68.08935546875,34.04443359375,17.02294921875,8.51171875,4.25634765625
0.2,0.9,8.764,4.755979,0.906634752,1934.2865252858276,2055.9368901551707,1960.2404742559488,1422.1271644364117,868.4520891032693,456.4042565045406,230.88076720400812,116.69635799647376,544.71484375,273.294921875,136.8037109375,68.08935546875,34.04443359375,17.02294921875,8.51171875,4.25634765625
0.2,1.0,5.944,4.755979,0.83533568,2037.8718366750018,2168.7457537705095,1955.6307060957554,1412.2737950907767,855.5988372736423,445.46128665469655,224.91075540299005,113.93799071415634,544.71484375,273.294921875,136.8037109375,68.08935546875,34.04443359375,17.02294921875,8.51171875,4.25634765625
